Report Name,Report Location,Report ID,DP Name,Universe/Source,Has Combined Queries,Class Name,Object Name,Result Object/Condition Object,Operands,Sub Queries,Combined Queries,Object Qualification
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Credit Hold Indicator,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer Credit Limit,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Collector Name,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Credit Rating Code,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Invoice Number,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Bill To Locations,Bill To Location ID,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Ship To ID,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Geographic Region Desc,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Bill To Locations,City,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Sales Region,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Sales Sub Region,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Commision Sales Rep Desc,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Channel Desc,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Ag) Customer Purchase Order Number,Result Object, , , ,DIMENSION
